,listingAddress,unitNumber,listingId,rentAmount,rentType,bedrooms,bathrooms,housingType,dateAvailable,gmapLatitude,gmapLongitude,pets,air_conditioning,electricity_included,electronic_payments,furniture_included,heat_included,internet_included,kitchen_available,laundry_available,near_bus,osparking_available,osparking_included,psparking_available,water_included,faculty,ugrad,sabbatical,fa_sublet,sp_sublet,sum_sublet,short_term,graduate
0,125-27 QUARRY STREET N,,1.0,5000.0,Price per Unit,10,4,Rent,2017-04-20T04:00:00.000Z,42.251696,-76.341166,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,212-12.5 DELAWARE AVENUE,,2.0,975.0,Price per Person,2,2,Rent,2018-08-14T04:00:00.000Z,42.440071,-76.48351699999999,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
2,14 German Cross Road,4,3.0,675.0,Price per Unit,1,1,Rent,2017-05-15T04:00:00.000Z,42.4047739,-76.4307458,Yes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,219 Eastern Heights Drive,3,4.0,715.0,Price per Unit,1,1,Rent,2019-08-15T04:00:00.000Z,42.422104,-76.44914899999999,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,216 Dearborn Pl,,5.0,825.0,Price per Person,4,3.5,Room to Rent,2021-06-04T04:00:00.000Z,42.456551754891706,-76.48207411408612,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,203 PROSPECT STREET,,6.0,700.0,Price per Person,6,2,Rent,2021-08-01T04:00:00.000Z,42.437400788491345,-76.49422158895493,Yes,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
6,203 PROSPECT STREET,A,8.0,716.0,Price per Person,3,1,Rent,2017-08-01T04:00:00.000Z,42.437342,-76.494235,Yes,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
7,124 Crest Lane,,9.0,2125.0,Price per Unit,3,2,Rent,2021-08-07T04:00:00.000Z,42.454325,-76.46667099999999,No,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
8,1559 Slaterville Rd.,,10.0,1850.0,Price per Unit,3,1,Rent,2017-08-01T04:00:00.000Z,42.41669162352905,-76.45285857175827,Yes,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
9,346 Warren Road,1,11.0,895.0,Price per Unit,1,1,Rent,2017-08-01T04:00:00.000Z,42.464756,-76.467648,Yes,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
10,8 Hanford Dr,,12.0,1000.0,Price per Unit,3,2,Rent,2018-12-29T05:00:00.000Z,42.519101,-76.2762,Yes,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,1250 Warren Road,,13.0,600.0,Price per Unit,3,2,Rent,2017-03-22T04:00:00.000Z,42.5228589,-76.473039,No,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,125-27 QUARRY STREET N,1,14.0,720.0,Price per Person,1,1,Room to Rent,2020-08-01T04:00:00.000Z,42.44010895867992,-76.48821650674591,No,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
13,506 Hanshaw Road,,15.0,475.0,Price per Person,3,1,Rent,2018-08-16T04:00:00.000Z,42.46922211338189,-76.49095525396729,No,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,512 UNIVERSITY AVENUE,1,16.0,775.0,Price per Person,5,2,Rent,2017-08-01T04:00:00.000Z,42.449003,-76.492947,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
15,312 ELMWOOD AVENUE,,17.0,1100.0,Price per Unit,1,1,Rent,2017-05-24T04:00:00.000Z,42.440116,-76.481461,No,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,411 GENEVA STREET N,1,18.0,1500.0,Price per Unit,1,1,Rent,2019-10-01T04:00:00.000Z,42.44308650000001,-76.5009218,Yes,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
17,2135 Danby Road,,19.0,1900.0,Price per Unit,3,2,Rent,2017-06-15T04:00:00.000Z,42.3393687,-76.4588163,Yes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
18,219 Kelvin Place,1,20.0,695.0,Price per Person,1,3,Room to Rent,2020-11-16T05:00:00.000Z,42.456829,-76.483268,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
19,116-18 EDDY STREET,,21.0,1295.0,Price per Unit,2,1,Rent,2017-08-01T04:00:00.000Z,42.4387856,-76.4873499,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
