listingId,address,unit_number,rent,rent_type,bedrooms,bathrooms,housing_type,date_available,latitude,longitude,pets_allowed,air_conditioning,electricity_included,electronic_payments,furniture_included,heat_included,internet_included,kitchen_available,laundry_available,near_bus,osparking_available,osparking_included,psparking_available,water_included,faculty,ugrad,sabbatical,fa_sublet,sp_sublet,sum_sublet,short_term,graduate,distance
1.0,125-27 QUARRY STREET N,,5000.0,Price per Unit,10.0,4.0,Rent,2017-04-20 04:00:00,42.251696,-76.341166,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24786.968112309587
2.0,212-12.5 DELAWARE AVENUE,,1950.0,Price per Unit,2.0,2.0,Rent,2018-08-14 04:00:00,42.440071,-76.48351699999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,850.6552365244694
3.0,14 German Cross Road,4,675.0,Price per Unit,1.0,1.0,Rent,2017-05-15 04:00:00,42.4047739,-76.4307458,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,6521.638530729764
4.0,219 Eastern Heights Drive,3,715.0,Price per Unit,1.0,1.0,Rent,2019-08-15 04:00:00,42.422104,-76.44914899999999,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,4087.4142193730386
5.0,216 Dearborn Pl,,875.0,Price per Unit,1.0,3.5,Room to Rent,2021-06-24 04:00:00,42.456551754891706,-76.48207411408612,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1018.3371666969327
6.0,203 PROSPECT STREET,,4200.0,Price per Unit,6.0,2.0,Rent,2021-08-01 04:00:00,42.43740078849135,-76.49422158895493,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1369.1025135042648
8.0,203 PROSPECT STREET,A,2148.0,Price per Unit,3.0,1.0,Rent,2017-08-01 04:00:00,42.437342,-76.494235,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1375.1550581151812
9.0,124 Crest Lane,,2125.0,Price per Unit,3.0,2.0,Rent,2021-08-07 04:00:00,42.454325,-76.46667099999999,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1674.8060137012014
10.0,1559 Slaterville Rd.,,1850.0,Price per Unit,3.0,1.0,Rent,2017-08-01 04:00:00,42.41669162352905,-76.45285857175827,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,4334.883927893516
11.0,346 Warren Road,1,895.0,Price per Unit,1.0,1.0,Rent,2017-08-01 04:00:00,42.464756,-76.467648,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,2374.5634478927905
12.0,8 Hanford Dr,,1000.0,Price per Unit,3.0,2.0,Rent,2018-12-29 05:00:00,42.519101,-76.2762,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18873.545146609264
13.0,1250 Warren Road,,600.0,Price per Unit,3.0,2.0,Rent,2017-03-22 04:00:00,42.5228589,-76.473039,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,8420.308627872033
14.0,125-27 QUARRY STREET N,1,855.0,Price per Unit,1.0,1.0,Rent,2021-07-09 04:00:00,42.44010895867992,-76.48821650674591,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,879.4564048708415
15.0,506 Hanshaw Road,,1425.0,Price per Unit,3.0,1.0,Rent,2018-08-16 04:00:00,42.46922211338189,-76.49095525396729,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2448.9390594764327
16.0,512 UNIVERSITY AVENUE,1,3875.0,Price per Unit,5.0,2.0,Rent,2017-08-01 04:00:00,42.449003,-76.492947,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,671.8944455862983
17.0,312 ELMWOOD AVENUE,,1100.0,Price per Unit,1.0,1.0,Rent,2017-05-24 04:00:00,42.440116,-76.481461,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,885.338624210715
18.0,411 GENEVA STREET N,1,1500.0,Price per Unit,1.0,1.0,Rent,2019-10-01 04:00:00,42.44308650000001,-76.5009218,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1403.8583803726615
19.0,2135 Danby Road,,1900.0,Price per Unit,3.0,2.0,Rent,2017-06-15 04:00:00,42.3393687,-76.4588163,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,12229.903166152351
20.0,219 Kelvin Place,1,725.0,Price per Unit,1.0,3.0,Room to Rent,2021-08-01 04:00:00,42.456829,-76.483268,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1030.5880907965231
21.0,116-18 EDDY STREET,,1295.0,Price per Unit,2.0,1.0,Rent,2017-08-01 04:00:00,42.4387856,-76.4873499,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1004.4310165030336
22.0,78 Lois Lane,78,1320.0,Price per Unit,2.0,1.0,Rent,2018-05-17 04:00:00,42.423128,-76.467866,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,3066.2941535470686
23.0,116 LAKE STREET,,700.0,Price per Unit,1.0,1.0,Rent,2021-08-01 04:00:00,42.45058178180389,-76.49296689814759,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,733.0575132249737
24.0,425 CAYUGA STREET N,,1290.0,Price per Unit,1.0,1.0,Rent,2021-08-01 04:00:00,42.444197,-76.49883799999999,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1200.999721143939
25.0,118 SCHUYLER PLACE,,2205.0,Price per Unit,3.0,1.0,Rent,2022-01-01 05:00:00,42.4402332,-76.4923736,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1024.072488587029
26.0,225 Snyder Hill Rd,Upstairs,1375.0,Price per Unit,3.0,1.0,Rent,2017-08-02 04:00:00,42.42329400205836,-76.449552635582,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,3972.283329135507
27.0,7B Knoll Tree Rd,,650.0,Price per Unit,2.0,1.0,Rent,2019-06-01 04:00:00,42.435604,-76.417058,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,5731.113964639677
28.0,225 Snyder Hill Road,First Floor,1175.0,Price per Unit,3.0,1.0,Rent,2017-08-02 04:00:00,42.423224,-76.449558,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,3977.2730056605396
29.0,6891 Woodchuck Hill Rd.,,2857.0,Price per Unit,4.0,2.5,Rent,2017-03-29 04:00:00,43.012059,-76.04480199999999,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,72328.01420199504
30.0,6891 Woodchuck Hill Rd.,,2875.0,Price per Unit,4.0,2.5,Rent,2017-03-29 04:00:00,43.012128340918174,-76.044802,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,72334.69462086515
31.0,150 TRIPHAMMER ROAD,,400.0,Price per Unit,1.0,1.0,Rent,2017-05-10 04:00:00,42.455991,-76.48153099999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,969.8164162467576
32.0,412 UNIVERSITY AVENUE,Apartment #2,17500.0,Price per Unit,5.0,2.0,Rent,2022-08-12 04:00:00,42.44830982773466,-76.4926819986725,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,637.2802452448342
33.0,301 COLLEGE AVENUE,3B,855.0,Price per Unit,1.0,1.0,Room to Rent,2017-03-30 04:00:00,42.44037570614531,-76.48487925522534,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,808.4405471550511
34.0,13 Chelsey Circle,,2275.0,Price per Unit,3.0,2.0,Rent,2017-03-30 04:00:00,42.48369538313164,-76.34011334358598,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,12539.808921760483
35.0,312 Thurston Ave,A35,540.0,Price per Unit,1.0,2.0,Room to Rent,2017-05-29 04:00:00,42.454054,-76.486004,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,717.6074122087331
36.0,324 CENTER STREET,,1000.0,Price per Unit,2.0,1.5,Rent,2017-03-31 04:00:00,42.43580499999999,-76.505162,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,2116.5201158415857
37.0,307 Comstock Rd,Apt. A,800.0,Price per Unit,1.0,1.0,Rent,2017-04-01 04:00:00,42.470443,-76.48624099999999,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,2537.0748656538194
38.0,4501 Krums Corners Rd,,4999.0,Price per Unit,10.0,4.0,Rent,2018-10-25 04:00:00,42.51193480063412,-76.5751142331352,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10283.749594513156
39.0,232 LINDEN AVENUE,,4875.0,Price per Unit,5.0,2.0,Rent,2021-08-05 04:00:00,42.44101478864321,-76.4843508048935,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,739.078682920182
40.0,232 LINDEN AVENUE,,1950.0,Price per Unit,2.0,2.0,Rent,2021-06-05 04:00:00,42.44104838010461,-76.48436689814758,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,735.2626265534861
41.0,115 QUARRY STREET S,,1065.0,Price per Unit,0.0,1.0,Rent,2021-07-01 04:00:00,42.436952107422464,-76.4878752576721,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1212.8010938910772
42.0,106 VALENTINE PLACE,,2480.0,Price per Unit,2.0,2.0,Rent,2017-11-22 05:00:00,42.43633759448725,-76.48591121534423,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1259.8091763392426
43.0,206 COLLEGE AVENUE,,1960.0,Price per Unit,2.0,1.0,Rent,2018-08-27 04:00:00,42.44006199132357,-76.4853550846558,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,843.8919234035826
44.0,530 GREEN STREET W,,1000.0,Price per Unit,4.0,1.5,Rent,2017-03-31 04:00:00,42.438758,-76.505614,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1961.3716619534202
45.0,112 VALENTINE PLACE,,3300.0,Price per Unit,3.0,3.0,Rent,2017-05-01 04:00:00,42.43609619069236,-76.48621572883604,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1288.3481210102893
46.0,113 VALENTINE PLACE,,1770.0,Price per Unit,1.0,1.0,Rent,2017-07-01 04:00:00,42.43624409701624,-76.48570141534424,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1269.2526215056093
47.0,312-24 THURSTON AVENUE,D15,650.0,Price per Unit,1.0,1.0,Rent,2017-05-29 04:00:00,42.45429502610881,-76.48545450429913,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,740.4293323260243
48.0,108-10 EDDY STREET,Apt 1,895.0,Price per Unit,1.0,1.0,Rent,2019-08-01 04:00:00,42.4384919,-76.487672,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1041.792751352369
49.0,140 Honness Lane,,1300.0,Price per Unit,2.0,1.0,Rent,2017-08-16 04:00:00,42.429942,-76.466292,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,2494.7857725306044
50.0,506 Hanshaw Road,,1700.0,Price per Unit,3.0,1.0,Rent,2017-08-01 04:00:00,42.469099,-76.491084,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2437.681548508931
51.0,112 SCHUYLER PLACE,,2100.0,Price per Unit,3.0,1.5,Rent,2018-01-05 05:00:00,42.4399123,-76.49237029999999,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1052.8501155246222
52.0,426 Winthrop Dr,10,1095.0,Price per Unit,2.0,1.5,Rent,2018-08-01 04:00:00,42.47418034827609,-76.46688835767213,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,3302.2579220636608
53.0,426 Winthrop Drive,6,1075.0,Price per Unit,2.0,1.5,Rent,2017-08-01 04:00:00,42.47419153950313,-76.46694200185243,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,3301.3964425063
54.0,426 Winthrop Drive,6,1075.0,Price per Unit,2.0,1.5,Rent,2017-08-01 04:00:00,42.47411599868182,-76.46680252698366,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,3299.040930795695
55.0,426 Winthrop Drive,6,1075.0,Price per Unit,2.0,1.5,Rent,2017-08-01 04:00:00,42.4742419,-76.4668669,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,3309.163646075427
56.0,310 COURT STREET E,,1050.0,Price per Unit,1.0,1.0,Rent,2018-08-01 04:00:00,42.4428828,-76.4950282,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,980.8214513653597
